Time,X,Y,InOpen,InClosed
15.2,-1.79078,-0.727416,0,0
15.24,-1.52443,-0.663228,0,0
15.28,-1.25615,-0.567498,0,0
15.32,-0.957443,-0.453167,0,0
15.36,-0.611824,-0.323176,0,0
15.4,-0.16525,-0.243235,0,0
15.44,0.342167,-0.156498,0,0
15.48,0.859836,-0.108372,0,0
15.52,1.55642,0.181521,0,0
15.56,1.89715,0.288546,0,0
15.6,2.2222,0.343881,0,0
15.64,2.4808,0.37204,0,0
15.68,2.69659,0.362736,0,0
15.72,2.85444,0.329061,0,0
15.76,2.97875,0.301185,0,0
15.8,3.12647,0.292825,0,1
15.84,3.28505,0.272687,0,1
15.88,3.47958,0.271048,0,1
15.92,3.67515,0.227261,0,1
15.96,3.6839,-0.0930998,0,1
16,3.80282,-0.237037,0,1
16.04,4.02555,-0.350201,0,1
16.08,4.30789,-0.452043,0,1
16.12,4.66039,-0.554283,0,1
16.16,5.08319,-0.587272,0,1
16.2,5.5803,-0.55302,0,1
16.24,6.2016,-0.444036,0,1
16.28,6.85651,-0.335196,0,1
16.32,7.63772,0.132771,0,1
16.36,8.35615,0.257024,0,1
16.4,9.08628,0.31521,0,1
16.44,9.74547,-0.113322,0,1
16.48,10.4925,-0.345687,0,1
16.52,10.8555,-0.503895,0,1
16.56,11.514,-0.74109,0,1
16.6,12.2893,-0.942408,0,1
16.64,13.0846,-1.00644,0,1
16.68,13.784,-0.633964,0,1
16.72,14.514,-0.39224,0,1
16.76,15.506,0.451849,0,1
16.8,16.1102,0.898392,0,1
16.84,16.7499,0.694637,0,1
16.88,17.4335,0.782974,0,1
16.92,18.2052,0.767127,0,1
16.96,19.0077,0.655771,0,1
17,19.8943,0.131623,0,1
17.04,20.8039,-0.190782,0,1
17.08,21.7916,-0.510719,0,1
17.12,22.7812,-0.799946,0,1
17.16,23.8936,-0.835556,0,1
17.2,24.8327,-0.827854,0,1
17.24,25.7318,-0.580319,0,1
17.28,26.4096,0.143425,0,1
17.32,27.2225,0.623254,0,1
17.36,28.217,0.972489,0,1
17.4,29.1707,1.29054,0,1
17.44,29.9562,1.04536,0,1
17.48,30.8764,0.848191,0,1
17.52,31.7063,0.606868,0,1
17.56,32.134,0.440491,0,1
17.6,32.5433,-0.137891,0,1
17.64,32.8928,-0.462885,0,1
17.68,33.1455,-0.749952,0,1
17.72,33.4095,-1.04931,0,1
17.76,33.6546,-1.31654,0,1
17.8,33.7786,-1.57141,0,1
17.84,33.9097,-1.74688,0,1
17.88,34.1382,-1.84652,0,1
17.92,34.3417,-1.82089,0,1
17.96,34.584,-1.67457,0,1
18,34.8545,-1.29691,0,1
18.04,35.0055,-0.829128,0,1
18.08,35.0819,-0.484608,0,1
18.12,35.119,-0.145012,0,1
18.16,35.1499,0.173588,0,1
18.2,35.1835,0.400683,0,1
18.24,35.2381,0.567721,0,1
18.28,35.3555,0.564034,0,1
18.32,35.42,0.523505,0,1
18.36,35.5022,0.496105,0,1
18.4,35.5727,0.457516,0,1
18.44,35.6059,0.365475,0,1
18.48,35.7402,0.346039,0,1
18.52,35.7901,0.311204,0,1
18.56,35.7964,0.231616,0,1
18.6,35.8506,0.211473,0,1
18.64,35.9828,0.264855,0,1
18.68,36.0439,0.271355,0,1
18.72,36.1117,0.292557,0,1
18.76,36.1926,0.309807,0,1
18.8,36.2011,0.234435,0,1
18.84,36.2552,0.186066,0,1
18.88,36.3175,0.14599,0,1
18.92,36.3082,0.055313,0,1
18.96,36.2392,-0.0302592,0,1
19,36.1792,-0.0980537,0,1
19.04,36.0572,-0.190815,0,1
19.08,35.8536,-0.302951,0,1
19.12,35.5612,-0.477856,0,1
19.16,35.4263,-0.523535,0,1
19.2,35.0822,-0.633219,0,1
19.24,34.7899,-0.728377,0,1
19.28,34.5502,-0.78687,0,1
19.32,34.2404,-0.810736,0,1
19.36,34.0004,-0.806023,0,1
19.4,33.7384,-0.783534,0,1
19.44,33.5055,-0.712237,0,1
19.48,33.2965,-0.632977,0,1
19.52,33.1502,-0.562828,0,1
19.56,33.0692,-0.518631,0,1
19.6,33.0219,-0.45313,0,1
19.64,32.9774,-0.405671,0,1
19.68,32.9818,-0.364541,0,1
19.72,33.0414,-0.360866,0,1
19.76,33.1388,-0.353205,0,1
19.8,33.2715,-0.359932,0,1
19.84,33.4004,-0.394753,0,1
19.88,33.447,-0.441035,0,1
19.92,33.5011,-0.459755,0,1
19.96,33.5327,-0.467696,0,1
20,33.5681,-0.486858,0,1
20.04,33.5999,-0.48971,0,1
20.08,33.6184,-0.464126,0,1
20.12,33.6378,-0.415946,0,1
20.16,33.6699,-0.427746,0,1
20.2,33.738,-0.443779,0,1
20.24,33.8269,-0.47086,0,1
20.28,33.9295,-0.521125,0,1
20.32,34.0027,-0.574426,0,1
20.36,34.083,-0.640248,0,1
20.4,34.1398,-0.694708,0,1
20.44,34.1805,-0.742761,0,1
20.48,34.2428,-0.761236,0,1
20.52,34.268,-0.777328,0,1
20.56,34.2685,-0.792404,0,1
20.6,34.258,-0.781112,0,1
20.64,34.2407,-0.736226,0,1
20.68,34.2088,-0.716297,0,1
20.72,34.1766,-0.698902,0,1
20.76,34.1413,-0.667536,0,1
20.8,34.1268,-0.67109,0,1
20.84,34.1618,-0.705714,0,1
20.88,34.1986,-0.721362,0,1
20.92,34.3544,-0.73619,0,1
20.96,34.5195,-0.784754,0,1
21,34.7122,-0.861873,0,1
21.04,35.0284,-0.884813,0,1
21.08,35.3169,-0.927834,0,1
21.12,35.5952,-0.992822,0,1
21.16,35.8572,-1.06269,0,1
21.2,36.0431,-1.13368,0,1
21.24,36.2573,-1.21279,0,1
21.28,36.3907,-1.24992,0,1
21.32,36.4764,-1.2536,0,1
21.36,36.4132,-1.2821,0,1
21.4,36.324,-1.29944,0,1
21.44,36.2361,-1.2995,0,1
21.48,36.1288,-1.30383,0,1
21.52,36.0277,-1.2796,0,1
21.56,35.9614,-1.26968,0,1
21.6,35.9019,-1.23953,0,1
21.64,35.9072,-1.23341,0,1
21.68,35.8712,-1.19627,0,1
21.72,35.8161,-1.08885,0,1
21.76,35.7626,-1.00799,0,1
21.8,35.7423,-0.928937,0,1
21.84,35.7719,-0.87989,0,1
21.88,35.8111,-0.880134,0,1
21.92,35.889,-0.886818,0,1
21.96,36.0138,-0.870758,0,1
22,36.1938,-0.859084,0,1
22.04,36.4761,-0.803685,0,1
22.08,36.7001,-0.787656,0,1
22.12,36.9595,-0.79905,0,1
22.16,37.2104,-0.789268,0,1
22.2,37.463,-0.767635,0,1
22.24,37.7889,-0.652108,0,1
22.28,37.9617,-0.586639,0,1
22.32,38.1756,-0.488073,0,1
22.36,38.3423,-0.406631,0,1
22.4,38.4941,-0.362802,0,1
22.44,38.6256,-0.32419,0,1
22.48,38.6817,-0.24121,0,1
22.52,38.7146,-0.209437,0,1
22.56,38.6702,-0.13511,0,1
22.6,38.5018,-0.0373055,0,1
22.64,38.1959,0.0891265,0,1
22.68,37.8712,0.197722,0,1
22.72,37.5288,0.286894,0,1
22.76,37.2136,0.308972,0,1
22.8,36.8067,0.356838,0,1
22.84,36.5523,0.297983,0,1
22.88,36.2021,0.280342,0,1
22.92,35.8473,0.28414,0,1
22.96,35.5214,0.310859,0,1
23,35.1749,0.341036,0,1
23.04,34.8793,0.419325,0,1
23.08,34.6523,0.474567,0,1
23.12,34.4222,0.504251,0,1
23.16,34.2193,0.531061,0,1
23.2,34.0559,0.548837,0,1
23.24,33.8977,0.547118,0,1
23.28,33.7634,0.517473,0,1
23.32,33.6154,0.496559,0,1
23.36,33.4942,0.43799,0,1
23.4,33.4292,0.42317,0,1
23.44,33.3893,0.400803,0,1
23.48,33.4052,0.390032,0,1
23.52,33.5034,0.437499,0,1
23.56,33.547,0.451637,0,1
23.6,33.6256,0.453377,0,1
23.64,33.7033,0.476623,0,1
23.68,33.8086,0.505801,0,1
23.72,33.9513,0.506198,0,1
23.76,34.0331,0.510016,0,1
23.8,34.1237,0.516675,0,1
23.84,34.1743,0.523014,0,1
23.88,34.2229,0.487506,0,1
23.92,34.2766,0.467243,0,1
23.96,34.3359,0.449658,0,1
24,34.4345,0.418861,0,1
24.04,34.4961,0.323942,0,1
24.08,34.5139,0.202468,0,1
24.12,34.4286,0.109518,0,1
24.16,34.3364,0.0943375,0,1
24.2,34.1921,0.0787489,0,1
24.24,34.0489,0.060986,0,1
24.28,33.8239,0.0195187,0,1
24.32,33.5561,-0.0233795,0,1
24.36,33.2262,-0.084505,0,1
24.4,32.7594,-0.16785,0,1
